LibraryLayout	Library_Name	Run	Replicate_Name	Sex	dev_stage	organism_part	RNA	Sample_Name
PAIRED	Female Thoracicoabdominal Ganglion (Mir)	ERR2744042	Female_Thoracicoabdominal_ganglion_Mir_1	female	Adult	Thoracicoabdominal Ganglion 	microRNA	Female_Thoracicoabdominal_ganglion_Mir
PAIRED	Female Thoracicoabdominal Ganglion (Mir)	ERR2744043	Female_Thoracicoabdominal_ganglion_Mir_2	female	Adult	Thoracicoabdominal Ganglion 	microRNA	Female_Thoracicoabdominal_ganglion_Mir
PAIRED	Female Tubule	ERR2103038	Female_Tubule_1	female	Adult	Malpighian Tubules	mRNA	Female_Tubule
PAIRED	Female Tubule	ERR2103039	Female_Tubule_2	female	Adult	Malpighian Tubules	mRNA	Female_Tubule
PAIRED	Female Tubule	ERR2103040	Female_Tubule_3	female	Adult	Malpighian Tubules	mRNA	Female_Tubule
SINGLE	Female Tubule (Mir)	ERR2116045	Female_Tubule_Mir_1	female	Adult	Malpighian Tubules	microRNA	Female_Tubule_Mir
SINGLE	Female Tubule (Mir)	ERR2116046	Female_Tubule_Mir_2	female	Adult	Malpighian Tubules	microRNA	Female_Tubule_Mir
SINGLE	Female Tubule (Mir)	ERR2116047	Female_Tubule_Mir_3	female	Adult	Malpighian Tubules	microRNA	Female_Tubule_Mir
PAIRED	Female Virgin Spermatheca	ERR2744053	Female_Virgin_Spermatheca_1	female	Adult	Virgin Spermatheca	mRNA	Female_Virgin_Spermatheca
PAIRED	Female Virgin Spermatheca	ERR2744054	Female_Virgin_Spermatheca_2	female	Adult	Virgin Spermatheca	mRNA	Female_Virgin_Spermatheca
PAIRED	Female Virgin Spermatheca	ERR2744055	Female_Virgin_Spermatheca_3	female	Adult	Virgin Spermatheca	mRNA	Female_Virgin_Spermatheca
PAIRED	Female Whole	ERR2103041	Female_whole_flies_1	female	Adult	Whole	mRNA	Female_whole_flies
PAIRED	Female Whole	ERR2103042	Female_whole_flies_2	female	Adult	Whole	mRNA	Female_whole_flies
PAIRED	Female Whole	ERR2103043	Female_whole_flies_3	female	Adult	Whole	mRNA	Female_whole_flies
